Club,Player Name,Position,Status,Resting Heart Rate (bpm),Max Heart Rate (bpm),HRV (ms),VO2 Max (ml/kg/min),Weight (kg),Reaction Time (ms),Match Consistency Variance,Minutes Played,Injury Frequency,Recovery Time (weeks),Training Hours,Heart Rate Zone,Fatigue Score,Injury Risk,Readiness Score,Player ID,League,Team
Manchester City,Player_Man_1,Defender,Recovering,64,200,53.3907300081831,41.9370031589297,73.3749825856077,319.994983163601,0.959248891965867,1896,3,7,5.2820578951355,Zone 1 (Rest),84.9147819146955,3.54593674394872,5.20647562620864,1,Premier League,Manchester City
Manchester City,Player_Man_3,Defender,Optimal,63,152,94.3976162694528,43.6061507717556,86.2624812992386,201.326496115987,0.476880702273941,2013,0,0,18.0839734811646,Zone 1 (Rest),49.3422670716558,0.0,58.3299341904951,3,Premier League,Manchester City
Manchester City,Player_Man_4,Forward,Optimal,51,169,69.6410186410405,53.6652703765092,78.2998997334786,283.319491173616,0.169345861403109,2080,0,0,12.5877998160002,Zone 1 (Rest),55.9919061122715,0.0,39.8309958019398,4,Premier League,Manchester City
Manchester City,Player_Man_5,Midfielder,Recovering,63,195,36.2382498860457,41.3540065563998,75.782832311389,468.456954919,0.949754133369766,701,2,5,7.98949989405543,Zone 1 (Rest),47.3102230588595,2.41774909433672,15.5292478890184,5,Premier League,Manchester City
Manchester City,Player_Man_6,Midfielder,Optimal,63,172,80.833370401033,49.223440486987,82.1133462169538,274.732011013738,0.315876852955632,2791,0,0,13.5675332669359,Zone 1 (Rest),70.4860622709219,0.0,34.6341561727315,6,Premier League,Manchester City
Manchester City,Player_Man_7,Midfielder,At Risk,82,198,71.8509402281633,33.3053387812601,75.3909101685298,384.680296141274,0.89488151817557,1147,3,4,8.53428671923809,Zone 1 (Rest),48.2877005660223,1.14155898070774,28.721504264344,7,Premier League,Manchester City
Manchester City,Player_Man_8,Defender,Recovering,60,194,57.789026355400495,43.0215405100389,87.4487902663134,470.00771555796,0.949450674138203,1556,3,8,8.34420626331804,Zone 1 (Rest),62.9217775686906,2.28119429455724,19.5303037612107,8,Premier League,Manchester City
Manchester City,Player_Man_9,Forward,Recovering,57,192,44.1664477548585,42.391884918766,81.3973436166899,452.15700972338,1.0612771975695,1266,2,8,5.20216794769216,Zone 1 (Rest),67.8952554042075,4.35234346231814,9.72035274448802,9,Premier League,Manchester City
Manchester City,Player_Man_10,Defender,At Risk,79,202,68.0687680934159,47.9152719134704,74.2611066954634,412.65511439527694,1.19551608642613,984,3,8,7.05191461517815,Zone 1 (Rest),30.3860716098209,2.29159438331021,42.3752318797353,10,Premier League,Manchester City
Manchester City,Player_Man_11,Defender,Optimal,62,181,83.9546186595414,43.8956986607941,86.4140351704577,262.435404813379,0.218253474335086,2645,0,0,14.5653457048291,Zone 1 (Rest),72.167906361939,0.0,30.76376296044,11,Premier League,Manchester City
Manchester City,Player_Man_12,Goalkeeper,Optimal,63,160,72.973800840211,32.4417590940135,83.9074459519244,290.682844154575,0.208852899753854,2282,0,0,14.2710778862626,Zone 1 (Rest),96.9955463713916,0.0,5.26250847677058,12,Premier League,Manchester City
Manchester City,Player_Man_13,Goalkeeper,Optimal,52,188,66.5862341257177,40.6817883875088,87.1207492839746,269.243603289027,0.207764933519409,2663,0,0,19.4290970391252,Zone 1 (Rest),99.0247515513595,0.0,4.38471859673777,13,Premier League,Manchester City
Manchester City,Player_Man_14,Midfielder,Optimal,57,161,70.0712918330146,49.9449701178477,69.0263492945031,228.484049437747,0.114754778941813,2112,0,0,19.7661495583265,Zone 1 (Rest),60.9126760936458,0.0,36.7103017746686,14,Premier League,Manchester City
Manchester City,Player_Man_15,Forward,Optimal,54,181,96.3306354386662,34.7912378133395,78.6223718022806,248.945276027756,0.49426018164424,2415,0,0,15.9269672387939,Zone 1 (Rest),72.533328251588,0.0,32.3693618786838,15,Premier League,Manchester City
Manchester City,Player_Man_16,Defender,Recovering,60,206,51.8464904583558,37.3556626543851,78.9691749178074,426.705942152179,1.03577468407476,1251,1,10,6.60390032485868,Zone 1 (Rest),64.9333885218243,3.21271951704006,11.780953684911,16,Premier League,Manchester City
Manchester City,Player_Man_17,Midfielder,At Risk,72,209,73.0383562080754,44.404820951311,81.3344859731405,461.900209227943,0.848665987291729,988,1,9,6.93367673150269,Zone 1 (Rest),30.6770092654481,1.97462858594725,41.5149128679131,17,Premier League,Manchester City
Manchester City,Player_Man_18,Midfielder,Recovering,60,207,57.7408085483569,57.5467870676196,67.7382488314547,431.996809206836,1.31722220020122,1516,1,3,9.98126849878962,Zone 1 (Rest),45.9245871031995,0.694051012159277,33.5086997646266,18,Premier League,Manchester City
Manchester City,Player_Man_19,Midfielder,Recovering,54,198,38.3661405777655,54.0071565994554,85.3998342671492,471.264858375619,0.90450812712219,1127,3,2,5.80814357047307,Zone 1 (Rest),54.6709896807021,2.24380208631179,19.0415694426863,19,Premier League,Manchester City
Manchester City,Player_Man_20,Midfielder,At Risk,83,192,74.8913106624697,58.8026688491556,89.2099151026595,356.784194947493,0.805363860344393,1321,3,10,5.87962626338673,Zone 1 (Rest),30.1302723204272,2.95231164785218,53.939430828749,20,Premier League,Manchester City
Manchester City,Player_Man_21,Forward,Optimal,54,169,74.6587513833144,44.8834104611313,77.0234981063032,230.806079185239,0.31701609222196,2954,0,0,13.6771580305943,Zone 1 (Rest),88.5625437815003,0.0,18.3311349484884,21,Premier League,Manchester City
Manchester City,Player_Man_22,Defender,Optimal,63,187,99.1557143310004,39.7348430591891,87.1829636315566,243.439436551043,0.24003136307787,2608,0,0,15.7690388462636,Zone 1 (Rest),66.5941919144166,0.0,38.6611580084347,22,Premier League,Manchester City
Manchester City,Player_Man_23,Forward,Recovering,61,205,38.4231708732257,30.4863193286291,86.1368073976792,335.42213588141,1.44045858435291,976,2,6,9.41747011133129,Zone 1 (Rest),84.1244157348029,2.21086657720143,-7.42191489412105,23,Premier League,Manchester City
Manchester City,Player_Man_24,Forward,Optimal,57,178,77.1273659326926,49.3330963808734,80.0904994272313,285.300945546736,0.217779556827834,2980,0,0,11.9091103115035,Zone 1 (Rest),78.6323983066087,0.0,26.8696988803131,24,Premier League,Manchester City
Manchester City,Player_Man_25,Forward,Optimal,51,174,75.7876586723789,56.8842628145262,87.900505044325,207.041613084954,0.183567487046144,2942,0,0,19.9005385010426,Zone 1 (Rest),68.703655632991,0.0,36.7633711804104,25,Premier League,Manchester City
Liverpool,Player_Liv_1,Midfielder,Optimal,59,151,72.902030569544,56.9733958984935,64.0986399432609,270.891099691012,0.321127990763163,2681,0,0,18.0936115547851,Zone 1 (Rest),64.9839664285293,0.0,42.9744768473564,26,Premier League,Liverpool
Liverpool,Player_Liv_3,Defender,Optimal,61,183,63.7592775936348,41.565602819923505,61.0782682139023,246.559801813246,0.317057853883031,2124,0,0,18.3893350206936,Zone 1 (Rest),80.8389988877491,0.0,13.3802631288575,28,Premier League,Liverpool
Liverpool,Player_Liv_4,Midfielder,Optimal,53,155,72.1306205869289,50.7416485439331,69.7995372538812,282.786900378759,0.208617166327897,2619,0,0,16.22890475819,Zone 1 (Rest),72.0002664850093,0.0,32.8206468682921,29,Premier League,Liverpool
Liverpool,Player_Liv_5,Forward,Recovering,53,204,50.9853663230158,32.767061848356,78.3186355560742,493.907373422832,1.21459510417995,1156,3,4,7.19485710352818,Zone 1 (Rest),69.6256765895543,1.90822825947217,6.92487822638115,30,Premier League,Liverpool
Liverpool,Player_Liv_6,Defender,Optimal,59,172,77.1325789976043,43.7699980153073,61.7458078652533,291.521372762648,0.276940891892442,2095,0,0,15.4922666470612,Zone 1 (Rest),62.5128624461338,0.0,33.9475084690569,31,Premier League,Liverpool
Liverpool,Player_Liv_7,Goalkeeper,Optimal,62,150,98.1946112265278,44.7579383339154,88.858851312785,261.172074623435,0.267840024971116,2075,0,0,15.6603721049408,Zone 1 (Rest),47.569190261956,0.0,63.5889061989914,32,Premier League,Liverpool
